(119, {'lat': 14.545702405238188, 'lon': 121.03963851928712})
(120, {'lat': 14.545702405238188, 'lon': 121.04290008544923})
(121, {'lat': 14.545702405238188, 'lon': 121.04598999023439})
(122, {'lat': 14.545702405238188, 'lon': 121.04907989501955})
(123, {'lat': 14.545702405238188, 'lon': 121.05234146118165})
(125, {'lat': 14.545702405238188, 'lon': 121.05852127075197})
(126, {'lat': 14.548859407856487, 'lon': 121.00496292114259})
(127, {'lat': 14.548859407856487, 'lon': 121.0082244873047})
(128, {'lat': 14.548859407856487, 'lon': 121.01131439208984})
(129, {'lat': 14.548859407856487, 'lon': 121.01457595825197})
(130, {'lat': 14.548859407856487, 'lon': 121.01766586303712})
(131, {'lat': 14.548859407856487, 'lon': 121.02075576782228})
(132, {'lat': 14.548859407856487, 'lon': 121.02401733398439})
(133, {'lat': 14.548859407856487, 'lon': 121.02710723876955})
(134, {'lat': 14.548859407856487, 'lon': 121.0301971435547})
(135, {'lat': 14.548859407856487, 'lon': 121.03345870971681})
(137, {'lat': 14.548859407856487, 'lon': 121.03963851928712})
(138, {'lat': 14.548859407856487, 'lon': 121.04290008544923})
(139, {'lat': 14.548859407856487, 'lon': 121.04598999023439})
(140, {'lat': 14.548859407856487, 'lon': 121.04907989501955})
(141, {'lat': 14.548859407856487, 'lon': 121.05234146118165})
(143, {'lat': 14.548859407856487, 'lon': 121.05852127075197})
(144, {'lat': 14.552016365330298, 'lon': 121.00496292114259})
(145, {'lat': 14.552016365330298, 'lon': 121.0082244873047})
(146, {'lat': 14.552016365330298, 'lon': 121.01131439208984})
(147, {'lat': 14.552016365330298, 'lon': 121.01457595825197})
(148, {'lat': 14.552016365330298, 'lon': 121.01766586303712})
(149, {'lat': 14.552016365330298, 'lon': 121.02075576782228})
(150, {'lat': 14.552016365330298, 'lon': 121.02401733398439})
(151, {'lat': 14.552016365330298, 'lon': 121.02710723876955})
(152, {'lat': 14.552016365330298, 'lon': 121.0301971435547})
(153, {'lat': 14.552016365330298, 'lon': 121.03345870971681})
(155, {'lat': 14.552016365330298, 'lon': 121.03963851928712})
(156, {'lat': 14.552016365330298, 'lon': 121.04290008544923})
(157, {'lat': 14.552016365330298, 'lon': 121.04598999023439})
(158, {'lat': 14.552016365330298, 'lon': 121.04907989501955})
(159, {'lat': 14.552016365330298, 'lon': 121.05234146118165})
(161, {'lat': 14.552016365330298, 'lon': 121.05852127075197})
(162, {'lat': 14.555173277650715, 'lon': 121.00496292114259})
(163, {'lat': 14.555173277650715, 'lon': 121.0082244873047})
(164, {'lat': 14.555173277650715, 'lon': 121.01131439208984})
(165, {'lat': 14.555173277650715, 'lon': 121.01457595825197})
(166, {'lat': 14.555173277650715, 'lon': 121.01766586303712})
(167, {'lat': 14.555173277650715, 'lon': 121.02075576782228})
(168, {'lat': 14.555173277650715, 'lon': 121.02401733398439})
(169, {'lat': 14.555173277650715, 'lon': 121.02710723876955})
(170, {'lat': 14.555173277650715, 'lon': 121.0301971435547})
(171, {'lat': 14.555173277650715, 'lon': 121.03345870971681})
(173, {'lat': 14.555173277650715, 'lon': 121.03963851928712})
(174, {'lat': 14.555173277650715, 'lon': 121.04290008544923})
(175, {'lat': 14.555173277650715, 'lon': 121.04598999023439})
(176, {'lat': 14.555173277650715, 'lon': 121.04907989501955})
(177, {'lat': 14.555173277650715, 'lon': 121.05234146118165})
(179, {'lat': 14.555173277650715, 'lon': 121.05852127075197})
(180, {'lat': 14.558330144808782, 'lon': 121.00496292114259})
(181, {'lat': 14.558330144808782, 'lon': 121.0082244873047})
(182, {'lat': 14.558330144808782, 'lon': 121.01131439208984})
(183, {'lat': 14.558330144808782, 'lon': 121.01457595825197})
(184, {'lat': 14.558330144808782, 'lon': 121.01766586303712})
(185, {'lat': 14.558330144808782, 'lon': 121.02075576782228})
(186, {'lat': 14.558330144808782, 'lon': 121.02401733398439})
(187, {'lat': 14.558330144808782, 'lon': 121.02710723876955})
(188, {'lat': 14.558330144808782, 'lon': 121.0301971435547})
(189, {'lat': 14.558330144808782, 'lon': 121.03345870971681})
(191, {'lat': 14.558330144808782, 'lon': 121.03963851928712})
(192, {'lat': 14.558330144808782, 'lon': 121.04290008544923})
(193, {'lat': 14.558330144808782, 'lon': 121.04598999023439})
(194, {'lat': 14.558330144808782, 'lon': 121.04907989501955})
(195, {'lat': 14.558330144808782, 'lon': 121.05234146118165})
(197, {'lat': 14.558330144808782, 'lon': 121.05852127075197})
(198, {'lat': 14.561486966795568, 'lon': 121.00496292114259})
(199, {'lat': 14.561486966795568, 'lon': 121.0082244873047})
(200, {'lat': 14.561486966795568, 'lon': 121.01131439208984})
(201, {'lat': 14.561486966795568, 'lon': 121.01457595825197})
(202, {'lat': 14.561486966795568, 'lon': 121.01766586303712})
(203, {'lat': 14.561486966795568, 'lon': 121.02075576782228})
(204, {'lat': 14.561486966795568, 'lon': 121.02401733398439})
(205, {'lat': 14.561486966795568, 'lon': 121.02710723876955})
(206, {'lat': 14.561486966795568, 'lon': 121.0301971435547})
(207, {'lat': 14.561486966795568, 'lon': 121.03345870971681})
(209, {'lat': 14.561486966795568, 'lon': 121.03963851928712})
(210, {'lat': 14.561486966795568, 'lon': 121.04290008544923})
(211, {'lat': 14.561486966795568, 'lon': 121.04598999023439})
(212, {'lat': 14.561486966795568, 'lon': 121.04907989501955})
(213, {'lat': 14.561486966795568, 'lon': 121.05234146118165})
(215, {'lat': 14.561486966795568, 'lon': 121.05852127075197})
(216, {'lat': 14.564643743602131, 'lon': 121.00496292114259})
(217, {'lat': 14.564643743602131, 'lon': 121.0082244873047})
(218, {'lat': 14.564643743602131, 'lon': 121.01131439208984})
(219, {'lat': 14.564643743602131, 'lon': 121.01457595825197})
(220, {'lat': 14.564643743602131, 'lon': 121.01766586303712})
(221, {'lat': 14.564643743602131, 'lon': 121.02075576782228})
(222, {'lat': 14.564643743602131, 'lon': 121.02401733398439})
(223, {'lat': 14.564643743602131, 'lon': 121.02710723876955})
(224, {'lat': 14.564643743602131, 'lon': 121.0301971435547})
(225, {'lat': 14.564643743602131, 'lon': 121.03345870971681})
(227, {'lat': 14.564643743602131, 'lon': 121.03963851928712})
(228, {'lat': 14.564643743602131, 'lon': 121.04290008544923})
(229, {'lat': 14.564643743602131, 'lon': 121.04598999023439})
(230, {'lat': 14.564643743602131, 'lon': 121.04907989501955})
(231, {'lat': 14.564643743602131, 'lon': 121.05234146118165})
